"pack_metadata","pack_side","jar_filename","mod_id","mod_name","version","classification","discovery_batch","source_repository","repository_host","mapping_status","version_match_status","evidence_basis","evidence_url","notes"
"aeroclaims.pw.toml","both","aeroclaims-0.9.3.jar","aeroclaims","Create Aeronautics: Claims (FTB/OPAC)","0.9.3","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/Mapter322/Aeronautics-Claims","github.com","repository_verified","exact_curseforge_file_id","curseforge_export_manifest_and_modlist","https://www.curseforge.com/minecraft/mc-mods/aeronautics-claims/files/8493955","CurseForge projectID=1514529; fileID=8493955; author=Mapter; category=01_core_create_aeronautics_cc_weapons; Semantic version and managed JAR filename are not embedded in the CurseForge export; the exact installed artifact is pinned by CurseForge file ID. Installed artifact filename verified from mods-files.txt; version resolved from the installed filename without inspecting JAR internals."
"aeronautics_bundled.pw.toml","both","create-aeronautics-bundled-1.21.1-1.3.1.jar","aeronautics_bundled","Create Aeronautics","1.3.1","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/Creators-of-Aeronautics/Simulated-Project","github.com","repository_verified","exact_version_and_file","curseforge_file_page_export_manifest_and_public_source","https://www.curseforge.com/minecraft/mc-mods/create-aeronautics/files/8666959","CurseForge projectID=676721; fileID=8666959; author=ryanhcode; category=01_core_create_aeronautics_cc_weapons Installed artifact filename verified from mods-files.txt; version resolved from the installed filename without inspecting JAR internals."
"alltheleaks.pw.toml","both","alltheleaks-1.1.12+1.21.1-neoforge.jar","alltheleaks","AllTheLeaks (Memory Leak Fix)","1.1.12","performance_infrastructure","08_performance_stability_networking","https://github.com/pietro-lopes/AllTheLeaks","github.com","repository_verified","pending","official_project_source_link","https://github.com/pietro-lopes/AllTheLeaks","The official CurseForge project Source link identifies this canonical implementation repository; no straightforward matching release or tag was verified."
"amendments.pw.toml","both","amendments-1.21-2.1.9-neoforge.jar","amendments","Amendments","2.1.9","gameplay_primary","04_building_decor_general_content","https://github.com/MehVahdJukaar/amendments","github.com","repository_verified","source_aligned","author_owned_repository_metadata_identity_match","https://github.com/MehVahdJukaar/amendments","Author-owned implementation repository matches the project name and loaders; no exact tag or commit pinned."
"appleskin.pw.toml","both","appleskin-neoforge-mc1.21-3.0.9.jar","appleskin","AppleSkin","3.0.9","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/squeek502/AppleSkin","github.com","repository_verified","pending","official_project_source_link","https://github.com/squeek502/AppleSkin","Official project Source link resolves to this implementation repository; no exact source tag was verified for version 3.0.9."
"architectury-api.pw.toml","both","architectury-13.0.11-neoforge.jar","architectury-api","Architectury API","13.0.11","library_dependency","09_libraries_apis_compat_loaders","https://github.com/architectury/architectury-api","github.com","repository_verified","pending","official_project_source_link","https://github.com/architectury/architectury-api","Official project Source link resolves to the canonical repository; no exact installed release or tag was obvious."
"azimuth-api.pw.toml","both","azimuth-1.4.7.jar","azimuth-api","Azimuth API","1.4.7","library_dependency","09_libraries_apis_compat_loaders","https://github.com/Aztech-Modding/Azimuth","github.com","repository_verified","pending","author_owned_repository_metadata_identity_match","https://github.com/Aztech-Modding/Azimuth","No Source link was provided; the author-owned repository README and project metadata identify the Azimuth library. No exact installed release or tag was obvious."
"backpacked.pw.toml","both","backpacked-neoforge-1.21.1-3.0.5.jar","backpacked","Backpacked","3.0.5","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/MrCrayfish/Backpacked","github.com","exact_commit_pinned","exact_commit","official_release_tag_and_source_metadata_match","https://github.com/MrCrayfish/Backpacked/releases/tag/v1.21.1-3.0.5","Official source repository and exact tag v1.21.1-3.0.5 identify release commit 73db4d7."
"bad-wither-no-cookie-reloaded.pw.toml","both","bwncr-neoforge-1.21.1-3.20.4.jar","bad-wither-no-cookie-reloaded","Bad Wither No Cookie - Reloaded","3.20.4","performance_infrastructure","08_performance_stability_networking","https://gitlab.com/kreezxil/BadWitherNoCookie/","gitlab.com","repository_verified","pending","official_project_source_link","https://gitlab.com/kreezxil/BadWitherNoCookie/","The official CurseForge project Source link identifies this canonical implementation repository; no straightforward matching release or tag was verified."
"balm.pw.toml","both","balm-neoforge-1.21.1-21.0.65.jar","balm","Balm","21.0.65","library_dependency","09_libraries_apis_compat_loaders","https://github.com/TwelveIterations/Balm","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/TwelveIterations/Balm/releases/tag/v21.0.65","Official CurseForge Source link and GitHub release v21.0.65 match the installed version."
